,data,name,r,n,thread,part,time
534,HT,static,4.8,30,60,density computation,6.808773333333334
558,PAMAP2,fenwick,0.02,20,60,density computation,0.037407333333333334
564,PAMAP2,fenwick,0.5,20,60,density computation,0.037692333333333335
570,PAMAP2,fenwick,0.75,20,60,density computation,0.058099333333333336
576,PAMAP2,fenwick,1.125,20,60,density computation,0.10731733333333333
582,PAMAP2,fenwick,1.6875,20,60,density computation,0.19145866666666667
588,PAMAP2,fenwick,2.53,20,60,density computation,0.4235433333333333
594,PAMAP2,fenwick,3.8,20,60,density computation,0.75429
615,PAMAP2,fenwick,5.7,20,60,density computation,1.1551133333333332
636,PAMAP2,priority,0.02,20,60,density computation,0.036605033333333335
642,PAMAP2,priority,0.5,20,60,density computation,0.03961566666666667
648,PAMAP2,priority,0.75,20,60,density computation,0.062104
654,PAMAP2,priority,1.125,20,60,density computation,0.10601033333333333
660,PAMAP2,priority,1.6875,20,60,density computation,0.19182066666666667
666,PAMAP2,priority,2.53,20,60,density computation,0.38222666666666666
672,PAMAP2,priority,3.8,20,60,density computation,0.6865533333333333
693,PAMAP2,priority,5.7,20,60,density computation,1.22892
714,PAMAP2,static,0.02,20,60,density computation,0.037932633333333333
720,PAMAP2,static,0.5,20,60,density computation,0.03876633333333333
726,PAMAP2,static,0.75,20,60,density computation,0.05919766666666667
732,PAMAP2,static,1.125,20,60,density computation,0.10323633333333333
738,PAMAP2,static,1.6875,20,60,density computation,0.19667366666666666
744,PAMAP2,static,2.53,20,60,density computation,0.3756633333333333
750,PAMAP2,static,3.8,20,60,density computation,0.7409066666666666
771,PAMAP2,static,5.7,20,60,density computation,1.1750333333333334
774,Query,fenwick,0.008,0,60,density computation,0.0066207233333333325
795,Query,fenwick,0.01,0,60,density computation,0.28499066666666667
798,Query,fenwick,0.012,0,60,density computation,0.009673673333333334
801,Query,fenwick,0.018,0,60,density computation,0.0144744
804,Query,fenwick,0.027,0,60,density computation,0.018810666666666667
807,Query,fenwick,0.0405,0,60,density computation,0.020213766666666664
810,Query,fenwick,0.081,0,60,density computation,0.04014156666666666
813,Query,priority,0.008,0,60,density computation,0.00692733
834,Query,priority,0.01,0,60,density computation,0.2566406666666667
837,Query,priority,0.012,0,60,density computation,0.00967105
840,Query,priority,0.018,0,60,density computation,0.014431633333333332
843,Query,priority,0.027,0,60,density computation,0.0186127
846,Query,priority,0.0405,0,60,density computation,0.02018033333333333
849,Query,priority,0.081,0,60,density computation,0.04033333333333333
852,Query,static,0.008,0,60,density computation,0.0069713633333333335
873,Query,static,0.01,0,60,density computation,0.2901146666666667
876,Query,static,0.012,0,60,density computation,0.009841593333333334
879,Query,static,0.018,0,60,density computation,0.014369933333333335
882,Query,static,0.027,0,60,density computation,0.018828233333333333
885,Query,static,0.0405,0,60,density computation,0.019951966666666664
888,Query,static,0.081,0,60,density computation,0.04010243333333333
891,Sensor5,fenwick,0.003,5,60,density computation,19.326966666666667
897,Sensor5,fenwick,0.006,5,60,density computation,27.481033333333333
903,Sensor5,fenwick,0.012,5,60,density computation,29.131433333333334
909,Sensor5,fenwick,0.024,5,60,density computation,24.8713
915,Sensor5,fenwick,0.048,5,60,density computation,8.565913333333333
921,Sensor5,fenwick,0.096,5,60,density computation,2.98588
927,Sensor5,fenwick,0.192,5,60,density computation,2.9549833333333333
951,Sensor5,fenwick,0.2,5,60,density computation,2.965676666666667
954,Sensor5,fenwick,0.384,5,60,density computation,4.422833333333333
960,Sensor5,fenwick,0.768,5,60,density computation,8.151003333333334
966,Sensor5,priority,0.003,5,60,density computation,19.660666666666668
972,Sensor5,priority,0.006,5,60,density computation,26.902533333333334
978,Sensor5,priority,0.012,5,60,density computation,28.064766666666667
984,Sensor5,priority,0.024,5,60,density computation,24.889333333333337
990,Sensor5,priority,0.048,5,60,density computation,8.412116666666668
996,Sensor5,priority,0.096,5,60,density computation,2.996043333333333
1002,Sensor5,priority,0.192,5,60,density computation,2.9319133333333336
1026,Sensor5,priority,0.2,5,60,density computation,2.94876
1029,Sensor5,priority,0.384,5,60,density computation,4.430873333333333
1035,Sensor5,priority,0.768,5,60,density computation,8.064456666666667
1041,Sensor5,static,0.003,5,60,density computation,19.349166666666665
1047,Sensor5,static,0.006,5,60,density computation,26.981866666666665
1053,Sensor5,static,0.012,5,60,density computation,28.4243
1059,Sensor5,static,0.024,5,60,density computation,24.582066666666666
1065,Sensor5,static,0.048,5,60,density computation,8.430766666666667
1071,Sensor5,static,0.096,5,60,density computation,3.0053033333333334
1077,Sensor5,static,0.192,5,60,density computation,2.9220333333333333
1101,Sensor5,static,0.2,5,60,density computation,2.9444466666666664
1104,Sensor5,static,0.384,5,60,density computation,4.42815
1110,Sensor5,static,0.768,5,60,density computation,8.14938
1170,simden,fenwick,199.39,10000000,60,density computation,6.730883333333334
